Tiempo_Simulado(s),Posicion_X,Posicion_Y
40.3986,384.8165,629.9481
40.4486,385.0066,629.9462
40.4985,385.1878,629.9558
40.5485,385.3628,629.9812
40.5985,385.5352,629.9971
40.6485,385.7071,630.0000
40.6985,385.8791,630.0000
40.7485,386.0522,630.0000
40.7985,386.2267,630.0000
40.8485,386.4019,630.0000
40.8984,386.5775,630.0000
40.9484,386.7531,630.0000
40.9984,386.9290,630.0000
41.0484,387.1048,630.0000
41.0984,387.2641,629.9954
41.1484,387.3549,629.9683
41.1984,387.3840,629.9252
41.2484,387.3834,629.8870
41.2984,387.3784,629.8704
41.3483,387.3735,629.8784
41.3983,387.3686,629.9110
41.4483,387.3639,629.9679
41.4983,387.3628,629.9904
41.5483,387.3634,629.9548
41.5983,387.3602,629.9043
41.6483,387.3537,629.8567
41.6983,387.3454,629.8279
41.7482,387.3333,629.8209
41.7982,387.3125,629.8320
41.8482,387.2831,629.8617
41.8982,387.2479,629.9119
41.9482,387.2100,629.9846
41.9982,387.1714,629.9883
42.0482,387.1332,629.9932
42.0982,387.0951,630.0000
42.1481,387.0572,630.0000
42.1981,387.0194,630.0000
42.2481,386.9816,630.0000
42.2981,386.9439,630.0000
42.3481,386.9063,630.0000
42.3981,386.8687,630.0000
42.4481,386.8226,630.0000
42.4981,386.7570,630.0000
42.5480,386.6723,630.0000
42.5980,386.5760,630.0000
42.6480,386.4758,630.0000
42.6980,386.3754,630.0000
42.7480,386.2752,630.0000
42.7980,386.1750,630.0000
42.8480,386.0748,630.0000
42.8980,385.9746,630.0000
42.9479,385.8745,630.0000
42.9979,385.7732,630.0000
43.0479,385.6685,630.0000
43.0979,385.5604,630.0000
43.1479,385.4497,630.0000
43.1979,385.3376,630.0000
43.2479,385.2250,630.0000
43.2979,385.1124,630.0000
43.3479,384.9998,630.0000
43.3978,384.8872,630.0000
43.4478,384.7747,630.0000
43.4978,384.6621,630.0000
43.5478,384.5495,630.0000
43.5978,384.4369,630.0000
43.6478,384.3243,630.0000
43.6978,384.2118,630.0000
43.7478,384.0992,630.0000
43.7977,383.9866,630.0000
43.8477,383.8740,630.0000
43.8977,383.7614,630.0000
43.9477,383.6489,630.0000
43.9977,383.5363,630.0000
44.0477,383.4237,630.0000
44.0977,383.3111,630.0000
44.1477,383.1985,630.0000
44.1976,383.0860,630.0000
44.2476,382.9734,630.0000
44.2976,382.8608,630.0000
44.3476,382.7482,630.0000
44.3976,382.6357,630.0000
44.4476,382.5231,630.0000
44.4976,382.4105,630.0000
44.5476,382.2979,630.0000
44.5975,382.1853,630.0000
44.6475,382.0728,630.0000
44.6975,381.9602,630.0000
44.7475,381.8476,630.0000
44.7975,381.7350,630.0000
44.8475,381.6224,630.0000
44.8975,381.5099,630.0000
44.9475,381.3973,630.0000
44.9974,381.2847,630.0000
45.0474,381.1721,630.0000
45.0974,381.0595,630.0000
45.1474,380.9470,630.0000
45.1974,380.8328,630.0000
45.2474,380.7113,630.0000
45.2974,380.5823,630.0000
45.3474,380.4482,630.0000
45.3974,380.3120,630.0000
45.4473,380.1755,630.0000
45.4973,380.0432,630.0000
45.5473,379.9218,630.0000
45.5973,379.8101,630.0000
45.6473,379.7044,630.0000
45.6973,379.6007,630.0000
45.7473,379.4971,630.0000
45.7973,379.3935,630.0000
45.8472,379.2899,630.0000
45.8972,379.1862,630.0000
45.9472,379.0826,630.0000
45.9972,378.9790,630.0000
46.0472,378.8754,630.0000
46.0972,378.7718,630.0000
46.1472,378.6682,630.0000
